year
159
155
155
155
147
146
146
142
142
141
139
130
129
129
125
118
111
110
109
107
103
99
94
90
89
82
81
81
79
78
75
72
72
66
65
61
56
53
52
47
47
44
39
35
34
32
29
28
27
25
22
22
21
16
14
11
11
11
10
7
6
4
3
3
