year
360
356
354
353
352
350
346
343
338
337
337
334
334
333
329
329
322
319
318
318
314
314
313
310
305
305
297
294
291
288
285
284
283
282
277
275
272
270
267
265
264
263
256
250
243
236
234
230
230
229
228
226
225
224
224
224
215
214
211
207
205
204
202
202
198
191
189
185
183
171
154
151
141
141
139
134
133
133
132
132
127
127
121
119
118
117
115
114
109
100
100
100
97
95
93
91
91
79
77
75
73
65
65
65
65
65
64
64
64
63
63
63
62
49
49
48
47
42
41
41
41
41
41
41
38
38
34
23
19
14
11
10
10
8
8
6
6
3
