year
364
362
359
358
355
350
349
345
341
336
336
335
335
327
322
320
316
312
308
297
282
275
275
270
262
259
256
255
251
250
250
250
250
245
245
245
244
243
238
238
237
234
231
231
231
225
219
218
214
214
210
208
204
204
203
200
199
188
188
177
175
173
165
165
162
156
155
155
152
149
148
143
136
133
128
127
123
116
110
109
107
105
103
96
91
86
82
78
78
77
74
66
57
54
40
39
37
36
29
28
27
26
24
23
20
19
19
18
9
7
7
7
